order,contents,kind,manuscript
4.1.2.5.18,רבי,word,K
4.1.2.5.19,טרפון,word,K
4.1.2.5.20,אומר,word,K
4.1.2.5.21,נזק,word,K
4.1.2.5.22,שלם,word,K
4.1.2.5.23,וחכמים,word,K
4.1.2.5.24,אומרים,word,K
4.1.2.5.25,חצי,word,K
4.1.2.5.26,נזק,word,K
4.1.2.5.27,אמר,word,K
4.1.2.5.28,להם,word,K
4.1.2.5.29,רבי,word,K
4.1.2.5.30,טרפון,word,K
4.1.2.5.31,ומה,word,K
4.1.2.5.32,במקום,word,K
4.1.2.5.33,שהקל,word,K
4.1.2.5.34,על,word,K
4.1.2.5.35,השן,word,K
4.1.2.5.36,ועל,word,K
4.1.2.5.37,הרגל,word,K
4.1.2.5.38,ברשות,word,K
4.1.2.5.39,הרבים,word,K
4.1.2.5.40,שהוא,word,K
4.1.2.5.41,פטור,word,K
4.1.2.5.42,החמיר,word,K
4.1.2.5.43,עליהם,word,K
4.1.2.5.44,ברשות,word,K
4.1.2.5.45,הניזק,word,K
4.1.2.5.46,לשלם,word,K
4.1.2.5.47,נזק,word,K
4.1.2.5.48,שלם,word,K
4.1.2.5.49,מקום,word,K
4.1.2.5.50,שהחמיר,word,K
4.1.2.5.51,על,word,K
4.1.2.5.52,הקרן,word,K
4.1.2.5.53,ברשות,word,K
4.1.2.5.54,הרבים,word,K
4.1.2.5.55,לשלם,word,K
4.1.2.5.56,חצי,word,K
4.1.2.5.57,נזק,word,K
4.1.2.5.58,אינו,word,K
4.1.2.5.59,דין,word,K
4.1.2.5.60,שנחמיר,word,K
4.1.2.5.61,עליה,word,K
4.1.2.5.62,ברשות,word,K
4.1.2.5.63,הניזק,word,K
4.1.2.5.64,לשלם,word,K
4.1.2.5.65,נזק,word,K
4.1.2.5.66,שלם,word,K
4.1.2.5.67,אמרו,word,K
4.1.2.5.68,לו,word,K
4.1.2.5.69,דיו,word,K
4.1.2.5.70,לבא,word,K
4.1.2.5.71,מן,word,K
4.1.2.5.72,הדין,word,K
4.1.2.5.73,להיות,word,K
4.1.2.5.74,כנדון,word,K
4.1.2.5.75,מה,word,K
4.1.2.5.76,ברשות,word,K
4.1.2.5.77,הרבים,word,K
4.1.2.5.78,חצי,word,K
4.1.2.5.79,נזק,word,K
4.1.2.5.80,אף,word,K
4.1.2.5.81,ברשות,word,K
4.1.2.5.82,הניזק,word,K
4.1.2.5.83,חצי,word,K
4.1.2.5.84,נזק,word,K
4.1.2.5.85,אמר,word,K
4.1.2.5.86,להם,word,K
4.1.2.5.87,אני,word,K
4.1.2.5.88,לא,word,K
4.1.2.5.89,אדון,word,K
4.1.2.5.90,קרן,word,K
4.1.2.5.91,מקרן,word,K
4.1.2.5.92,אני,word,K
4.1.2.5.93,אדון,word,K
4.1.2.5.94,קרן,word,K
4.1.2.5.95,מרגל,word,K
4.1.2.5.96,ומה,word,K
4.1.2.5.97,אם,word,K
4.1.2.5.98,במקום,word,K
4.1.2.5.99,שהקל,word,K
4.1.2.5.100,על,word,K
4.1.2.5.101,השן,word,K
4.1.2.5.102,ועל,word,K
4.1.2.5.103,הרגל,word,K
4.1.2.5.104,ברשות,word,K
4.1.2.5.105,הרבים,word,K
4.1.2.5.106,החמיר,word,K
4.1.2.5.107,בקרן,word,K
4.1.2.5.108,מקום,word,K
4.1.2.5.109,שהחמיר,word,K
4.1.2.5.110,על,word,K
4.1.2.5.111,השן,word,K
4.1.2.5.112,ועל,word,K
4.1.2.5.113,הרגל,word,K
4.1.2.5.114,ברשות,word,K
4.1.2.5.115,הניזק,word,K
4.1.2.5.116,אינו,word,K
4.1.2.5.117,דין,word,K
4.1.2.5.118,שנחמיר,word,K
4.1.2.5.119,בקרן,word,K
4.1.2.5.120,אמרו,word,K
4.1.2.5.121,לו,word,K
4.1.2.5.122,דיו,word,K
4.1.2.5.123,לבא,word,K
4.1.2.5.124,מן,word,K
4.1.2.5.125,הדין,word,K
4.1.2.5.126,להיות,word,K
4.1.2.5.127,כנדון,word,K
4.1.2.5.128,מה,word,K
4.1.2.5.129,ברשות,word,K
4.1.2.5.130,הרבים,word,K
4.1.2.5.131,חצי,word,K
4.1.2.5.132,נזק,word,K
4.1.2.5.133,אף,word,K
4.1.2.5.134,ברשות,word,K
4.1.2.5.135,הניזק,word,K
4.1.2.5.136,חצי,word,K
