order,contents,kind,manuscript
4.1.3.2.10,המצניע,word,psV
4.1.3.2.11,את,word,psV
4.1.3.2.12,הקוץ,word,psV
4.1.3.2.13,ואת,word,psV
4.1.3.2.14,הזכוכית,word,psV
4.1.3.2.15,והגודר,word,psV
4.1.3.2.16,את,word,psV
4.1.3.2.17,גדרו,word,psV
4.1.3.2.18,בקוצים,word,psV
4.1.3.2.19,וגדר,word,psV
4.1.3.2.20,שנפל,word,psV
4.1.3.2.21,לרשות,word,psV
4.1.3.2.22,הרבים,word,psV
4.1.3.2.23,והוזקו,word,psV
4.1.3.2.24,בהן,word,psV
4.1.3.2.25,אחרים,word,psV
4.1.3.2.26,חייב,word,psV
4.1.3.2.27,בנזקן,word,psV
4.1.3.3,ab,milestone,psV
4.1.3.3.1,המוציא,word,psV
4.1.3.3.2,את,word,psV
4.1.3.3.3,תבנו,word,psV
4.1.3.3.4,ואת,word,psV
4.1.3.3.5,קשו,word,psV
4.1.3.3.6,לרשות,word,psV
4.1.3.3.7,הרבים,word,psV
4.1.3.3.8,לזבלים,word,psV
4.1.3.3.9,והוזק,word,psV
4.1.3.3.10,בהן,word,psV
4.1.3.3.11,אחר,word,psV
4.1.3.3.12,חייב,word,psV
4.1.3.3.13,בנזקו,word,psV
4.1.3.3.14,וכל,word,psV
4.1.3.3.15,הקודם,word,psV
4.1.3.3.16,בהן,word,psV
4.1.3.3.17,זכה,word,psV
4.1.3.3.18,רבן,word,psV
4.1.3.3.19,שמעון,word,psV
4.1.3.3.20,בן,word,psV
4.1.3.3.21,גמליאל,word,psV
4.1.3.3.22,אומר,word,psV
4.1.3.3.23,כל,word,psV
4.1.3.3.24,המקלקלין,word,psV
4.1.3.3.25,ברשות,word,psV
4.1.3.3.26,הרבים,word,psV
4.1.3.3.27,והזיקו,word,psV
4.1.3.3.28,חייבין,word,psV
4.1.3.3.29,לשלם,word,psV
4.1.3.3.30,וכל,word,psV
4.1.3.3.31,הקודם,word,psV
4.1.3.3.32,בהן,word,psV
4.1.3.3.33,זכה,word,psV
4.1.3.3.34,ההופך,word,psV
4.1.3.3.35,את,word,psV
4.1.3.3.36,הגלל,word,psV
4.1.3.3.37,ברשות,word,psV
4.1.3.3.38,הרבים,word,psV
4.1.3.3.39,והוזק,word,psV
4.1.3.3.40,בהן,word,psV
4.1.3.3.41,אחר,word,psV
4.1.3.3.42,חייב,word,psV
4.1.3.3.43,בנזקו,word,psV
4.1.3.4,ab,milestone,psV
4.1.3.4.1,שני,word,psV
4.1.3.4.2,קדרין,word,psV
4.1.3.4.3,שהיו,word,psV
4.1.3.4.4,מהלכין,word,psV
4.1.3.4.5,זה,word,psV
4.1.3.4.6,אחר,word,psV
4.1.3.4.7,זה,word,psV
4.1.3.4.8,ונתקל,word,psV
4.1.3.4.9,הראשון,word,psV
4.1.3.4.10,ונפל,word,psV
4.1.3.4.11,ונתקל,word,psV
4.1.3.4.12,השני,word,psV
4.1.3.4.13,בראשון,word,psV
4.1.3.4.14,הראשון,word,psV
4.1.3.4.15,חייב,word,psV
4.1.3.4.16,בנזקי,word,psV
4.1.3.4.17,שני,word,psV
4.1.3.5,ab,milestone,psV
4.1.3.5.1,זה,word,psV
4.1.3.5.2,בא,word,psV
4.1.3.5.3,בחביתו,word,psV
4.1.3.5.4,וזה,word,psV
4.1.3.5.5,בא,word,psV
4.1.3.5.6,בקורתו,word,psV
4.1.3.5.7,נשברה,word,psV
4.1.3.5.8,כדו,word,psV
4.1.3.5.9,של,word,psV
4.1.3.5.10,זה,word,psV
4.1.3.5.11,בקורתו,word,psV
4.1.3.5.12,של,word,psV
4.1.3.5.13,זה,word,psV
4.1.3.5.14,פטור,word,psV
4.1.3.5.15,שלזה,word,psV
4.1.3.5.16,רשות,word,psV
4.1.3.5.17,להלך,word,psV
4.1.3.5.18,ולזה,word,psV
4.1.3.5.19,רשות,word,psV
4.1.3.5.20,להלך,word,psV
4.1.3.5.21,היה,word,psV
4.1.3.5.22,בעל,word,psV
4.1.3.5.23,קורה,word,psV
4.1.3.5.24,ראשון,word,psV
